epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.8051,2.48559,0.80159,0.96653,0.81318,7.88009e-05,7.88009e-05,7.88009e-05
2,66.7198,0.45283,0.95925,0.99935,0.14358,0.000152916,0.000152916,0.000152916
3,97.7155,0.16379,0.97612,0.99963,0.08224,0.000221795,0.000221795,0.000221795
4,129.016,0.11203,0.9811,0.99991,0.05629,0.000214438,0.000214438,0.000214438
5,159.44,0.0814,0.98377,0.99991,0.04888,0.000206584,0.000206584,0.000206584
6,189.286,0.06514,0.9882,1,0.03888,0.00019873,0.00019873,0.00019873
7,219.303,0.05966,0.98903,0.99991,0.032,0.000190876,0.000190876,0.000190876
8,251.225,0.04943,0.99078,0.99991,0.02597,0.000183022,0.000183022,0.000183022
9,280.816,0.04694,0.99106,0.99991,0.02695,0.000175168,0.000175168,0.000175168
10,312.152,0.03748,0.99143,0.99991,0.02403,0.000167314,0.000167314,0.000167314
11,342.769,0.03669,0.99262,1,0.01979,0.00015946,0.00015946,0.00015946
12,373.915,0.0339,0.99355,1,0.01996,0.000151606,0.000151606,0.000151606
13,405.059,0.03521,0.99465,1,0.01575,0.000143752,0.000143752,0.000143752
14,434.782,0.02985,0.99364,1,0.01736,0.000135898,0.000135898,0.000135898
15,464.459,0.02908,0.99373,1,0.01849,0.000128044,0.000128044,0.000128044
16,494.858,0.0307,0.99419,1,0.01688,0.00012019,0.00012019,0.00012019
17,525.797,0.0278,0.99373,1,0.01634,0.000112336,0.000112336,0.000112336
18,555.946,0.02505,0.99493,1,0.01403,0.000104482,0.000104482,0.000104482
19,586.601,0.02231,0.99557,1,0.01381,9.6628e-05,9.6628e-05,9.6628e-05
20,616.349,0.02215,0.99539,1,0.01224,8.8774e-05,8.8774e-05,8.8774e-05
21,650.003,0.01594,0.99576,1,0.01259,8.092e-05,8.092e-05,8.092e-05
22,681.201,0.01717,0.9965,1,0.0117,7.3066e-05,7.3066e-05,7.3066e-05
23,711.831,0.01898,0.99604,1,0.01117,6.5212e-05,6.5212e-05,6.5212e-05
24,742.961,0.01477,0.9965,1,0.01124,5.7358e-05,5.7358e-05,5.7358e-05
25,774.53,0.01699,0.99705,1,0.00988,4.9504e-05,4.9504e-05,4.9504e-05
26,805.429,0.01556,0.99677,1,0.01066,4.165e-05,4.165e-05,4.165e-05
27,835.597,0.01606,0.99705,1,0.00941,3.3796e-05,3.3796e-05,3.3796e-05
28,865.702,0.01408,0.99705,1,0.00942,2.5942e-05,2.5942e-05,2.5942e-05
29,896.463,0.01214,0.99677,1,0.00913,1.8088e-05,1.8088e-05,1.8088e-05
30,927.502,0.01336,0.99714,1,0.0091,1.0234e-05,1.0234e-05,1.0234e-05
