epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,41.8055,1.57817,0.93878,0.99677,0.22858,0.00993289,0.00331096,0.00993289,0.00331096,0.00993289,0.00331096,0.00993289,0.00331096
2,75.2012,0.18053,0.97262,0.99963,0.09094,0.0197684,0.00658948,0.0197684,0.00658948,0.0197684,0.00658948,0.0197684,0.00658948
3,109.924,0.12136,0.89581,0.99733,0.30792,0.029439,0.009813,0.029439,0.009813,0.029439,0.009813,0.029439,0.009813
4,144.275,0.13919,0.95418,0.99862,0.14215,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,177.532,0.11453,0.9444,0.9976,0.17817,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,210.842,0.09954,0.97225,0.99972,0.08065,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,244.616,0.0957,0.94957,0.99806,0.16575,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,277.776,0.08356,0.92633,0.9964,0.24566,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,311.752,0.08682,0.95353,0.99862,0.15295,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,345.516,0.07635,0.95999,0.99917,0.13013,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,380.571,0.07472,0.97935,0.99972,0.05722,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,413.436,0.07532,0.98202,0.99982,0.05118,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,446.882,0.08582,0.96736,0.99991,0.10145,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,480.303,0.07722,0.98045,0.99991,0.05813,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,514.911,0.07112,0.96856,0.99935,0.09144,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,546.745,0.07517,0.97926,0.99963,0.06097,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,580.377,0.07211,0.98036,0.99991,0.0599,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
