epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.669,0.45196,9.1043,0.01908,0.02729,0.01093,0.01643,0.01504,0.30433,9.50542,0.01317,7.83889e-05,7.83889e-05,7.83889e-05
2,580.076,0.32577,8.58014,0.01376,0.01228,0.60957,0.0513,0.04923,0.30008,8.83003,0.0131,0.000156421,0.000156421,0.000156421
3,869.724,0.29116,8.01179,0.01226,0.8222,0.06189,0.07142,0.06882,0.31154,8.26228,0.01357,0.000233144,0.000233144,0.000233144
4,1158.21,0.28245,7.45233,0.01177,0.95414,0.05802,0.11026,0.10797,0.28027,7.78324,0.01209,0.000232109,0.000232109,0.000232109
5,1446.02,0.26419,7.00012,0.01098,0.80466,0.10264,0.16076,0.15848,0.24739,7.2827,0.01068,0.000230146,0.000230146,0.000230146
6,1735.68,0.251,6.68429,0.0104,0.77465,0.16667,0.19497,0.19065,0.27236,6.98021,0.0119,0.000228183,0.000228183,0.000228183
7,2032.68,0.23475,6.37043,0.00987,0.80664,0.17049,0.22253,0.21943,0.24113,6.68001,0.0104,0.000226219,0.000226219,0.000226219
8,2333,0.24603,6.08346,0.01011,0.61581,0.27383,0.28164,0.27819,0.25719,6.41813,0.01111,0.000224256,0.000224256,0.000224256
9,2622.34,0.24406,5.80719,0.01029,0.71506,0.24705,0.29558,0.29219,0.23714,6.16001,0.01017,0.000222292,0.000222292,0.000222292
10,2912.14,0.21529,5.58058,0.00884,0.50859,0.31501,0.3178,0.31361,0.25853,5.98537,0.01116,0.000220329,0.000220329,0.000220329
11,3201.84,0.23965,5.3682,0.01003,0.5613,0.33346,0.34039,0.33763,0.23377,5.79045,0.01,0.000218365,0.000218365,0.000218365
12,3492.23,0.2202,5.21373,0.00893,0.65261,0.32404,0.35035,0.34446,0.2843,5.67308,0.01229,0.000216401,0.000216401,0.000216401
13,3783.44,0.22063,5.04926,0.00926,0.68258,0.3018,0.36288,0.3585,0.2199,5.44617,0.00949,0.000214438,0.000214438,0.000214438
14,4081.78,0.20956,4.86833,0.00858,0.66823,0.36788,0.40791,0.40347,0.24115,5.31249,0.01046,0.000212474,0.000212474,0.000212474
15,4372.77,0.22691,4.70759,0.00933,0.57211,0.38611,0.41543,0.40969,0.23586,5.07468,0.01021,0.000210511,0.000210511,0.000210511
16,4663.94,0.21725,4.5587,0.00895,0.75057,0.35547,0.45393,0.44436,0.2723,4.95979,0.01174,0.000208548,0.000208548,0.000208548
17,4954.64,0.20269,4.35085,0.00835,0.60496,0.43342,0.46631,0.46044,0.24781,4.80997,0.01079,0.000206584,0.000206584,0.000206584
18,5246.04,0.20774,4.25664,0.00852,0.62491,0.43608,0.47669,0.47214,0.22698,4.69222,0.00981,0.000204621,0.000204621,0.000204621
19,5537.24,0.18643,4.13658,0.00764,0.5424,0.46168,0.5127,0.50889,0.21895,4.52338,0.00938,0.000202657,0.000202657,0.000202657
20,5834.35,0.21463,3.9939,0.0088,0.63788,0.49124,0.54049,0.53341,0.2442,4.41664,0.01058,0.000200694,0.000200694,0.000200694
21,6126.38,0.19591,3.88931,0.00817,0.70228,0.43052,0.56066,0.55547,0.22332,4.24014,0.00966,0.00019873,0.00019873,0.00019873
22,6424.05,0.19437,3.70812,0.0079,0.6355,0.48017,0.57499,0.57038,0.21483,4.11657,0.0092,0.000196767,0.000196767,0.000196767
23,6723.62,0.19561,3.59737,0.00804,0.66202,0.47838,0.55668,0.54564,0.26367,4.06046,0.01145,0.000194803,0.000194803,0.000194803
24,7017.58,0.1902,3.49443,0.00782,0.64921,0.49831,0.57536,0.57005,0.21938,3.93799,0.00947,0.00019284,0.00019284,0.00019284
25,7306.98,0.17451,3.36638,0.00707,0.50799,0.59475,0.5978,0.5933,0.19622,3.76669,0.00842,0.000190876,0.000190876,0.000190876
26,7597.68,0.16769,3.26528,0.00673,0.57087,0.55609,0.58457,0.58071,0.20266,3.73565,0.00868,0.000188912,0.000188912,0.000188912
27,7885.81,0.1703,3.18636,0.00701,0.55391,0.57082,0.59912,0.59298,0.2447,3.60864,0.01066,0.000186949,0.000186949,0.000186949
28,8173.69,0.17626,3.09822,0.00733,0.52254,0.601,0.61042,0.60449,0.21432,3.53583,0.00921,0.000184986,0.000184986,0.000184986
29,8467.69,0.17784,2.98221,0.00737,0.65347,0.51384,0.6117,0.60717,0.21042,3.435,0.00898,0.000183022,0.000183022,0.000183022
30,8757,0.16591,2.85536,0.00676,0.59875,0.57395,0.62138,0.61625,0.19132,3.35434,0.00817,0.000181058,0.000181058,0.000181058
31,9045.52,0.16636,2.81625,0.00664,0.53036,0.59369,0.61186,0.60914,0.18102,3.29568,0.00773,0.000179095,0.000179095,0.000179095
32,9334.03,0.16766,2.6862,0.00682,0.61807,0.56457,0.63195,0.62809,0.20194,3.22505,0.00868,0.000177132,0.000177132,0.000177132
33,9623.64,0.16213,2.61075,0.00661,0.56875,0.61561,0.64912,0.64505,0.20635,3.07604,0.00891,0.000175168,0.000175168,0.000175168
34,9913.65,0.18214,2.50546,0.00754,0.58894,0.62597,0.65871,0.65441,0.18418,2.96366,0.00787,0.000173204,0.000173204,0.000173204
35,10203.4,0.15968,2.39811,0.00638,0.65269,0.59664,0.69196,0.68686,0.19679,2.90088,0.00842,0.000171241,0.000171241,0.000171241
36,10492.7,0.16112,2.37373,0.0066,0.63229,0.59614,0.69643,0.68881,0.23054,2.79799,0.00994,0.000169277,0.000169277,0.000169277
37,10782,0.1682,2.26924,0.00691,0.64422,0.60849,0.69596,0.69246,0.17495,2.76005,0.00744,0.000167314,0.000167314,0.000167314
38,11073,0.16064,2.23822,0.00651,0.64862,0.62287,0.70612,0.70155,0.18279,2.69353,0.00782,0.000165351,0.000165351,0.000165351
39,11362.2,0.17962,2.16091,0.00739,0.68142,0.60018,0.70807,0.70166,0.208,2.61679,0.00896,0.000163387,0.000163387,0.000163387
40,11652,0.17252,2.12015,0.007,0.65791,0.61462,0.70611,0.70138,0.17955,2.57043,0.00767,0.000161424,0.000161424,0.000161424
41,11941.1,0.15953,2.07189,0.00641,0.63805,0.63503,0.69728,0.68892,0.23657,2.57779,0.01025,0.00015946,0.00015946,0.00015946
42,12236,0.14806,1.99211,0.00588,0.64911,0.60778,0.70062,0.69656,0.17522,2.48979,0.00748,0.000157497,0.000157497,0.000157497
43,12525.1,0.15993,1.95097,0.00648,0.69411,0.59186,0.71969,0.71517,0.19575,2.43538,0.0084,0.000155533,0.000155533,0.000155533
44,12813.7,0.16596,1.87846,0.00685,0.66053,0.6477,0.7088,0.7048,0.20124,2.41882,0.00869,0.00015357,0.00015357,0.00015357
45,13104.8,0.14815,1.8697,0.00589,0.73129,0.58213,0.72387,0.71875,0.20863,2.3041,0.00901,0.000151606,0.000151606,0.000151606
46,13403.3,0.1455,1.77711,0.00589,0.64944,0.64973,0.72318,0.71984,0.17683,2.31142,0.00755,0.000149643,0.000149643,0.000149643
47,13696.8,0.15249,1.74866,0.00604,0.64734,0.65203,0.73464,0.73012,0.21008,2.24524,0.00907,0.000147679,0.000147679,0.000147679
48,13986.9,0.14621,1.7404,0.00587,0.67862,0.65904,0.73834,0.7349,0.19636,2.19599,0.00848,0.000145716,0.000145716,0.000145716
49,14276.9,0.14326,1.67789,0.00576,0.72325,0.63852,0.73385,0.73113,0.17485,2.20259,0.00748,0.000143752,0.000143752,0.000143752
50,14566.9,0.14106,1.64182,0.00573,0.70265,0.66904,0.75023,0.74576,0.17996,2.07038,0.00772,0.000141789,0.000141789,0.000141789
51,14858,0.14702,1.62235,0.00587,0.65527,0.65967,0.73515,0.73261,0.18108,2.09897,0.00774,0.000139825,0.000139825,0.000139825
52,15147.9,0.14566,1.58204,0.00585,0.63788,0.71434,0.7503,0.74765,0.1734,1.97867,0.00739,0.000137861,0.000137861,0.000137861
53,15438.2,0.15026,1.55096,0.00612,0.69823,0.68484,0.76247,0.75818,0.20768,1.98487,0.00894,0.000135898,0.000135898,0.000135898
54,15739.2,0.14091,1.48003,0.00558,0.7171,0.68129,0.76404,0.75726,0.20993,1.93671,0.00898,0.000133935,0.000133935,0.000133935
55,16037.6,0.149,1.45023,0.00601,0.69516,0.68782,0.75673,0.75229,0.18171,1.92546,0.0077,0.000131971,0.000131971,0.000131971
56,16335.7,0.14763,1.49173,0.00593,0.70138,0.66136,0.75722,0.75341,0.17723,1.90987,0.00759,0.000130008,0.000130008,0.000130008
57,16633.8,0.14294,1.41996,0.00579,0.73868,0.63476,0.75276,0.74902,0.18963,1.91192,0.00813,0.000128044,0.000128044,0.000128044
58,16933.2,0.14774,1.37378,0.00598,0.72329,0.67566,0.74828,0.74295,0.17381,1.89982,0.00743,0.000126081,0.000126081,0.000126081
59,17233.9,0.13308,1.30291,0.00534,0.67641,0.72396,0.75942,0.75641,0.16352,1.81141,0.00696,0.000124117,0.000124117,0.000124117
60,17533,0.13152,1.28661,0.00529,0.71268,0.69348,0.76481,0.75996,0.18893,1.79797,0.00811,0.000122154,0.000122154,0.000122154
61,17832.1,0.14266,1.27784,0.00576,0.635,0.73372,0.76185,0.75749,0.18853,1.7968,0.00805,0.00012019,0.00012019,0.00012019
62,18130.9,0.13557,1.24944,0.0054,0.73243,0.68567,0.76852,0.76329,0.20213,1.74518,0.00869,0.000118227,0.000118227,0.000118227
63,18428.3,0.14385,1.24511,0.00581,0.69632,0.69506,0.76602,0.76194,0.1866,1.7261,0.00801,0.000116263,0.000116263,0.000116263
64,18720,0.12802,1.20392,0.00515,0.67909,0.70647,0.76421,0.76043,0.16597,1.70537,0.00706,0.0001143,0.0001143,0.0001143
65,19013.2,0.13895,1.15653,0.00566,0.67758,0.70597,0.76327,0.75873,0.18372,1.7346,0.00792,0.000112336,0.000112336,0.000112336
